"class","none.IFA","none.IFA","rum.IFA","rum.IFA","nm.IFA","nm.IFA","enn.IFA","enn.IFA","tlr.IFA","tlr.IFA","oss.IFA","oss.IFA","rom.IFA","rom.IFA","smo.IFA","smo.IFA","bsmote.IFA","bsmote.IFA","csmote.IFA","csmote.IFA","cenn.IFA","cenn.IFA"
"fabric","2","2","4","4","3.5","3.5","4","4","2","2","2","2","4","4","4","4","4","4","4.5","4.5","5","5"
"jgroups","2","2","4","4","5","5","3","3","2","2","2","2","4","4","5","5","5","5","5","5","4","4"
"camel","2","2","3","3","3","3","3","3","2","2","2","2","3","3","3","3","3","3","3","3","3","3"
"tomcat","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"brackets","2","2","3","3","3","3","4","4","2","2","2","2","3","3","3","3","3","3","3","3","2","2"
"neutron","1","1","2","2","2","2","2","2","1","1","2","2","2","2","2","2","2","2","2","2","2","2"
"spring-integration","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"broadleaf","2","2","4","4","3","3","3","3","2","2","2","2","4","4","4","4","4","4","4","4","3","3"
"nova","2","2","2","2","2","2","3","3","2","2","2","2","2","2","2","2","3","3","2","2","3","3"
"npm","2","2","3","3","3","3","3","3","2","2","2","2","3","3","4","4","4","4","3","3","3","3"
"AVG","1.8","1.8","2.8","2.8","2.75","2.75","2.8","2.8","1.8","1.8","1.9","1.9","2.8","2.8","3","3","3.1","3.1","2.95","2.95","2.8","2.8"
"WTL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Improve.e","0","0","35.714","35.714","34.545","34.545","35.714","35.714","0","0","5.263","5.263","35.714","35.714","40","40","41.935","41.935","38.983","38.983","35.714","35.714"
"fabric-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"jgroups-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"camel-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"tomcat-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"brackets-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"neutron-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"spring-integration-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"broadleaf-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"nova-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
"npm-cliff","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0","T0","0"
