,Popt,Erecall,Eprecision,Efmeasure,PMI,IFA,recall,precision,F1,Pf,AUC,MCC
0,0.987316343,0.90030527,0.692645241,0.782939779,0.527345023,12,0.906571337,0.689076143,0.783000867,0.279243214,0.813664062,0.617477513
1,0.985989268,0.887760857,0.692041957,0.777777778,0.518903592,7,0.900169205,0.688779285,0.780412839,0.276269702,0.811949751,0.613417911
2,0.986067808,0.892093845,0.69354738,0.78039009,0.521771723,12,0.904467299,0.690444063,0.783095652,0.276745079,0.81386111,0.617657436
3,0.987220847,0.896308316,0.687130684,0.777902965,0.523988006,12,0.90158215,0.683562992,0.777579511,0.280204815,0.810688667,0.610332777
4,0.984127873,0.891532258,0.687286292,0.776197999,0.524248745,11,0.915403226,0.686151242,0.784369278,0.283979653,0.815711786,0.621617917
5,0.987440158,0.896294514,0.694444444,0.782563025,0.524476892,13,0.903352583,0.690896822,0.78296837,0.276640132,0.813356225,0.616831182
6,0.985767136,0.888700974,0.691069639,0.77752334,0.520435434,7,0.90319723,0.687362099,0.780635506,0.279262017,0.811967606,0.613733274
7,0.984315322,0.884804514,0.684673445,0.771979181,0.522488756,15,0.90592503,0.683285706,0.779010121,0.284987417,0.810468807,0.611045223
8,0.983369162,0.876634451,0.685812313,0.769570797,0.512971775,10,0.903597823,0.684213763,0.778749913,0.279531845,0.812032989,0.612887345
9,0.984483232,0.888050008,0.686691777,0.77449731,0.519196923,10,0.908589057,0.685028767,0.781127862,0.280206915,0.814191071,0.617361693
10,0.984407856,0.880992668,0.687672956,0.772420614,0.518219151,4,0.900894368,0.685824695,0.778783868,0.280319615,0.810287377,0.610347721
11,0.986452348,0.896407282,0.690408239,0.78003645,0.525324294,20,0.90631545,0.687503819,0.781889572,0.279927746,0.813193852,0.616250519
12,0.986326832,0.897521715,0.695590415,0.783758394,0.527736132,12,0.908917045,0.692658043,0.786186931,0.279089004,0.814914021,0.620979706
13,0.986032403,0.89251393,0.690404798,0.778556585,0.52173913,8,0.904950335,0.687526842,0.781395997,0.278306011,0.813322162,0.61608307
14,0.985393534,0.884763742,0.692148111,0.77669218,0.518447298,11,0.900112504,0.689886672,0.781101813,0.276056801,0.812027851,0.61386873
15,0.985987907,0.883992588,0.687531328,0.773481831,0.520174695,8,0.895351647,0.684570373,0.775900586,0.280295567,0.80752804,0.604772946
