projects,NONE,RUM,NearMiss,ENN,TomekLink,OSS,ROM,SMOTE,BSMOTE,SMOTE+Tomek,SMOTE+ENN,,max
Fabric8,0.603,0.479,0.495,0.488,0.585,0.585,0.484,0.484,0.465,0.476,0.493,,0.603
JGroups,0.571,0.409,0.407,0.462,0.561,0.559,0.417,0.417,0.397,0.409,0.44,,0.571
Camel,0.583,0.489,0.484,0.468,0.576,0.575,0.487,0.487,0.479,0.484,0.497,,0.583
Tomcat,0.684,0.613,0.616,0.54,0.667,0.671,0.608,0.607,0.594,0.606,0.642,,0.684
Brackets,0.712,0.643,0.643,0.588,0.697,0.696,0.653,0.652,0.628,0.646,0.662,,0.712
Neutron,0.766,0.724,0.75,0.681,0.76,0.74,0.724,0.73,0.695,0.724,0.718,,0.766
Spring,0.712,0.656,0.683,0.628,0.718,0.706,0.654,0.659,0.633,0.654,0.656,,0.718
Broadleaf,0.631,0.525,0.529,0.508,0.635,0.635,0.525,0.519,0.506,0.511,0.523,,0.635
Nova,0.714,0.694,0.709,0.641,0.714,0.707,0.695,0.699,0.676,0.695,0.676,,0.714
Npm,0.569,0.448,0.484,0.467,0.584,0.557,0.47,0.47,0.456,0.442,0.474,,0.584
AVG,0.655,0.568,0.58,0.547,0.65,0.643,0.572,0.572,0.553,0.565,0.578,,0.655
WTL,0,0,0,0,0,0,0,0,0,0,0,,
Improve.e,0,-15.237,-12.826,-19.654,-0.756,-1.794,-14.467,-14.36,-18.386,-15.925,-13.211,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
max,0.766,0.724,0.75,0.681,0.76,0.74,0.724,0.73,0.695,0.724,0.718,,
